images_name,sentiment category,sentiment degree,intention detection,offensiveness detection,metaphor occurrence,metaphor category,target domain,source domain,target modality,source modality,Language
E_image_ (1458).jpg,7(surprise),1(slightly),3(entertaining),0(non-offensive),1,complementary,me;new meme;old memes,man;woman;woman,text,image,EN
E_image_ (3767).jpg,4(sorrow),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (2704).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (2681).jpg,6(hate),2(moderately),4(offensive),2(moderately),1,image dominant,Jack and Rose,Donald Trump and Kim Jong-un,image,image,EN
E_image_ (1329).jpg,1(happiness),2(moderately),3(entertaining),0(non-offensive),1,complementary,you,woman,text,image,EN
E_image_ (2663).jpg,3(anger),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (2665).jpg,1(happiness),1(slightly),1(interactive),0(non-offensive),0,,,,,,EN
E_image_ (3328).jpg,3(anger),1(slightly),4(offensive),0(non-offensive),0,,,,,,EN
E_image_ (3013).jpg,5(fear),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (3808).jpg,4(sorrow),1(slightly),1(interactive),0(non-offensive),0,,,,,,EN
E_image_ (1845).jpg,4(sorrow),1(slightly),4(offensive),0(non-offensive),0,,,,,,EN
E_image_ (1560).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (3113).jpg,4(sorrow),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (2513).jpg,6(hate),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (1512).jpg,3(anger),2(moderately),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (2108).jpg,1(happiness),1(slightly),4(offensive),1(slightly),1,image dominant,unicorn,man,image,image,EN
E_image_ (1557).jpg,7(surprise),2(moderately),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (208).jpg,6(hate),2(moderately),2(expressive),0(non-offensive),1,complementary,me;mom,Squidward Tentacles;Spongebob squarepants,text,image,EN
E_image_ (2264).jpg,3(anger),2(moderately),2(expressive),2(moderately),0,,,,,,EN
E_image_ (507).jpg,6(hate),1(slightly),3(entertaining),0(non-offensive),1,complementary,i,hippo,text,image,EN
E_image_ (1000).jpg,7(surprise),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (581).jpg,2(love),1(slightly),2(expressive),0(non-offensive),1,text dominant,debt,promise,text,text,EN
E_image_ (2263).jpg,2(love),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (3692).jpg,4(sorrow),1(slightly),1(interactive),0(non-offensive),0,,,,,,EN
E_image_ (81).jpg,5(fear),3(very),2(expressive),0(non-offensive),1,complementary,Argentina;Falklanda;Britain,cat;mouse;dog,text,image,EN
E_image_ (96).jpg,2(love),1(slightly),2(expressive),0(non-offensive),1,complementary,knowledge,book,text,image,EN
E_image_ (2856).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,complementary,Titanic,two men,text,image,EN
E_image_ (2067).jpg,7(surprise),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (2193).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (198).jpg,1(happiness),1(slightly),1(interactive),0(non-offensive),1,image dominant,human,sun and cloud,image,image,EN
E_image_ (3064).jpg,6(hate),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (1252).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (129).jpg,1(happiness),2(moderately),3(entertaining),0(non-offensive),1,complementary,rabbit,slippers,image,图像,EN
E_image_ (2003).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (3078).jpg,6(hate),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (3585).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (3868).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (2389).jpg,3(anger),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (1615).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (3616).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (3295).jpg,1(happiness),3(very),4(offensive),1(slightly),0,,,,,,EN
E_image_ (2987).jpg,6(hate),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (3549).jpg,5(fear),2(moderately),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (3643).jpg,3(anger),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (1155).jpg,6(hate),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (2277).jpg,6(hate),1(slightly),4(offensive),0(non-offensive),1,complementary,couple,Trump and Putin,complementary,complementary,EN
E_image_ (1733).jpg,4(sorrow),1(slightly),4(offensive),0(non-offensive),1,image dominant,Nazi,kid,complementary,image,EN
E_image_ (560).jpg,6(hate),1(slightly),4(offensive),1(slightly),1,complementary,moon,you,complementary,image,EN
E_image_ (1209).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (2830).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (2379).jpg,3(anger),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (2102).jpg,1(happiness),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (3662).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (3964).jpg,7(surprise),2(moderately),4(offensive),0(non-offensive),0,,,,,,EN
E_image_ (2534).jpg,6(hate),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (612).jpg,2(love),1(slightly),1(interactive),0(non-offensive),1,complementary,love,rose,text,image,EN
E_image_ (3038).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,complementary,you,man,text,image,EN
E_image_ (592).jpg,6(hate),1(slightly),4(offensive),1(slightly),1,complementary,your brain,egg,text,image,EN
E_image_ (257).jpg,2(love),1(slightly),2(expressive),0(non-offensive),1,complementary,fish,cat,complementary,image,EN
E_image_ (1352).jpg,5(fear),1(slightly),3(entertaining),0(non-offensive),1,image dominant,snake,ear,image,image,EN
E_image_ (3322).jpg,3(anger),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (3633).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (2383).jpg,6(hate),1(slightly),4(offensive),0(non-offensive),0,,,,,,EN
E_image_ (1216).jpg,5(fear),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (2268).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (3987).jpg,1(happiness),1(slightly),1(interactive),0(non-offensive),1,image dominant,Mona Lisa,Mr.Bean,image,complementary,EN
E_image_ (1863).jpg,6(hate),1(slightly),4(offensive),1(slightly),1,image dominant,baby;baby,Donald Trump;Kim Jong-un,complementary,image,EN
E_image_ (3530).jpg,3(anger),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (1516).jpg,3(anger),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (719).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),1,complementary,me,cat,text,image,EN
E_image_ (1983).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (1556).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (3250).jpg,3(anger),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (1403).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (2798).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (1662).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (1597).jpg,5(fear),1(slightly),1(interactive),0(non-offensive),0,,,,,,EN
E_image_ (973).jpg,1(happiness),1(slightly),1(interactive),0(non-offensive),0,,,,,,EN
E_image_ (3686).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (3994).jpg,7(surprise),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (18).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),1,complementary,sprite,dog,text,image,EN
E_image_ (2148).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (330).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,complementary,Spongebob,pineapple,text,image,EN
E_image_ (1831).jpg,6(hate),2(moderately),4(offensive),1(slightly),0,,,,,,EN
E_image_ (2674).jpg,5(fear),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (587).jpg,2(love),1(slightly),2(expressive),0(non-offensive),1,text dominant,painting;poem,life;life,text,text,EN
E_image_ (3721).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (487).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),1,text dominant,sex,chocolate,text,text,EN
E_image_ (2519).jpg,6(hate),1(slightly),2(expressive),1(slightly),0,,,,,,EN
E_image_ (1169).jpg,6(hate),2(moderately),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (3543).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (2356).jpg,2(love),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (3095).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (72).jpg,1(happiness),3(very),2(expressive),0(non-offensive),1,complementary,youtube;concentration;me,telescope;tail;cat,text,image,EN
E_image_ (535).jpg,6(hate),1(slightly),3(entertaining),0(non-offensive),1,complementary,Santa Claus,cat,complementary,image,EN
E_image_ (1599).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (955).jpg,2(love),1(slightly),1(interactive),0(non-offensive),0,,,,,,EN
E_image_ (2538).jpg,6(hate),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (1776).jpg,3(anger),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (1911).jpg,7(surprise),1(slightly),1(interactive),0(non-offensive),0,,,,,,EN
E_image_ (3520).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (3750).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (1280).jpg,7(surprise),2(moderately),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (3377).jpg,1(happiness),1(slightly),4(offensive),0(non-offensive),0,,,,,,EN
E_image_ (2529).jpg,6(hate),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (2916).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (3332).jpg,1(happiness),1(slightly),4(offensive),0(non-offensive),0,,,,,,EN
E_image_ (764).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),1,image dominant,human,lemon,image,image,EN
E_image_ (2325).jpg,6(hate),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (2743).jpg,2(love),1(slightly),4(offensive),0(non-offensive),0,,,,,,EN
E_image_ (3101).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),1,complementary,blanket,technologies,complementary,image,EN
E_image_ (1769).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (1325).jpg,7(surprise),1(slightly),4(offensive),2(moderately),0,,,,,,EN
E_image_ (3319).jpg,1(happiness),1(slightly),4(offensive),0(non-offensive),0,,,,,,EN
E_image_ (729).jpg,2(love),1(slightly),2(expressive),0(non-offensive),1,text dominant,sunshine,you,text,text,EN
E_image_ (27).jpg,5(fear),3(very),2(expressive),1(slightly),1,complementary,pig,you,image,text,EN
E_image_ (2175).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (2471).jpg,3(anger),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (3109).jpg,6(hate),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (2191).jpg,7(surprise),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (1284).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (1212).jpg,7(surprise),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (735).jpg,5(fear),1(slightly),3(entertaining),0(non-offensive),1,complementary,battery,the number of memes,complementary,text,EN
E_image_ (737).jpg,4(sorrow),1(slightly),3(entertaining),0(non-offensive),1,complementary,energy,battery,complementary,text,EN
E_image_ (3803).jpg,5(fear),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (3343).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (2142).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (3863).jpg,6(hate),1(slightly),2(expressive),1(slightly),0,,,,,,EN
E_image_ (3094).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (2790).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (307).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),1,complementary,you,kid,text,image,EN
E_image_ (1433).jpg,1(happiness),3(very),2(expressive),0(non-offensive),1,complementary,you,woman,text,image,EN
E_image_ (59).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),1,complementary,me;my mom,bear;frog,text,image,EN
E_image_ (1238).jpg,2(love),1(slightly),1(interactive),0(non-offensive),0,,,,,,EN
E_image_ (406).jpg,6(hate),1(slightly),4(offensive),1(slightly),1,complementary,washing machine on fire,22,image,text,EN
E_image_ (1385).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (798).jpg,7(surprise),1(slightly),2(expressive),0(non-offensive),1,complementary,oo,sunglasses,complementary,image,EN
E_image_ (2236).jpg,4(sorrow),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (1957).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (3753).jpg,1(happiness),1(slightly),4(offensive),2(moderately),0,,,,,,EN
E_image_ (2068).jpg,6(hate),2(moderately),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (2941).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (2410).jpg,4(sorrow),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (2054).jpg,3(anger),2(moderately),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (2462).jpg,1(happiness),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (1627).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (1287).jpg,3(anger),2(moderately),4(offensive),0(non-offensive),0,,,,,,EN
E_image_ (3854).jpg,7(surprise),2(moderately),3(entertaining),1(slightly),0,,,,,,EN
E_image_ (1366).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (1748).jpg,7(surprise),1(slightly),4(offensive),1(slightly),1,text dominant,Hilter,Trump,text,text,EN
E_image_ (225).jpg,4(sorrow),1(slightly),3(entertaining),0(non-offensive),1,complementary,flower,cow,complementary,image,EN
E_image_ (585).jpg,2(love),1(slightly),2(expressive),0(non-offensive),1,text dominant,lighthouses,you,text,text,EN
E_image_ (2141).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (3548).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (625).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),1,complementary,positivity,tea,text,complementary,EN
E_image_ (1005).jpg,6(hate),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (3037).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (2911).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (3447).jpg,3(anger),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (3719).jpg,7(surprise),2(moderately),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (3456).jpg,1(happiness),2(moderately),1(interactive),0(non-offensive),0,,,,,,EN
E_image_ (476).jpg,6(hate),1(slightly),4(offensive),1(slightly),1,complementary,patience,battery,text,image,EN
E_image_ (754).jpg,2(love),1(slightly),2(expressive),0(non-offensive),1,text dominant,key,patience,text,text,EN
E_image_ (2600).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (1019).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (1805).jpg,3(anger),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (116).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),1,text dominant,money,time,text,text,EN
E_image_ (305).jpg,5(fear),1(slightly),4(offensive),1(slightly),1,complementary,utterance,track,text,image,EN
E_image_ (3733).jpg,4(sorrow),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (3792).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (1945).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (1729).jpg,3(anger),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (1761).jpg,2(love),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (3153).jpg,6(hate),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (1340).jpg,1(happiness),3(very),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (3995).jpg,3(anger),1(slightly),1(interactive),0(non-offensive),0,,,,,,EN
E_image_ (1282).jpg,1(happiness),1(slightly),4(offensive),0(non-offensive),0,,,,,,EN
E_image_ (2659).jpg,1(happiness),3(very),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (407).jpg,2(love),1(slightly),3(entertaining),1(slightly),1,complementary,fish,human,text,image,EN
E_image_ (708).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),1,text dominant,heaven,marriage,text,text,EN
E_image_ (3723).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (73).jpg,6(hate),2(moderately),4(offensive),2(moderately),1,complementary,me;gays,cat;cat,text,image,EN
E_image_ (2581).jpg,2(love),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (216).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),1,image dominant,human,orange,image,image,EN
E_image_ (1053).jpg,3(anger),3(very),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (3796).jpg,4(sorrow),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (80).jpg,2(love),2(moderately),2(expressive),0(non-offensive),1,complementary,you;me;love and affection,cat;mouse;spoon,text,image,EN
E_image_ (1903).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (1119).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (2215).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (1529).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (1361).jpg,4(sorrow),2(moderately),4(offensive),2(moderately),0,,,,,,EN
E_image_ (944).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (3459).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),0,,,,,,EN
E_image_ (1018).jpg,7(surprise),2(moderately),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (788).jpg,6(hate),1(slightly),3(entertaining),0(non-offensive),1,complementary,teacher,cat,text,image,EN
E_image_ (3674).jpg,3(anger),1(slightly),4(offensive),1(slightly),0,,,,,,EN
E_image_ (3567).jpg,3(anger),2(moderately),4(offensive),2(moderately),0,,,,,,EN
E_image_ (3467).jpg,4(sorrow),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (3595).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),0,,,,,,EN
E_image_ (923).jpg,1(happiness),2(moderately),3(entertaining),0(non-offensive),0,,,,,,EN
